pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff,taxon_level
F2-F2,F2,F2,0,0.28019717365481556,0.5270709235042504,0.38409917001693245,0,Genus
F2-R1,F2,R1,0.396295,0.3755455064358245,0.6613458686357757,0.6760166788668065,7,Genus
F2-R2,F2,R2,0.301497,0.3115834645054701,0.5740399667603444,0.49814677369148813,24,Genus
F2-U1,F2,U1,0.22885,0.34947841392369733,0.7509980316484943,0.5173097734575541,9.6,Genus
F2-U2,F2,U2,0.387089,0.3587799272494405,0.6603264452648102,0.5265707247997254,13.4,Genus
R1-B1,R1,B1,0.601512,0.4504553660453273,0.6903968482812947,0.7863937005819546,9.2,Genus
R1-B2,R1,B2,0.568833,0.33418363777571464,0.7922841546112983,0.7982883126050576,40.3,Genus
R1-F1,R1,F1,0.598703,0.36565031606548376,0.6969063698075895,0.6323659088616457,10.8,Genus
R1-F2,R1,F2,0.396295,0.3755455064358245,0.6613458686357757,0.6760166788668065,7,Genus
R1-R1,R1,R1,0,0.3434261047491209,0.5974493336033814,0.539271435398023,0,Genus
R1-R2,R1,R2,0.422658,0.4112460785349461,0.6337203430901824,0.6820905249126291,25.1,Genus
R1-U1,R1,U1,0.419481,0.3723394385437232,0.7832109617064117,0.7123345171038433,11.2,Genus
R1-U2,R1,U2,0.643139,0.40907033085288846,0.670687130604461,0.7120257921051367,19.3,Genus
R2-B1,R2,B1,0.479374,0.5363378188892588,0.6120494062292412,0.6555608932528468,24.2,Genus
R2-B2,R2,B2,0.428686,0.3189940646180197,0.7683614768158874,0.6393606439571667,45.5,Genus
R2-F1,R2,F1,0.531914,0.30318149678280976,0.7175450260631477,0.578918284109574,3.8,Genus
R2-F2,R2,F2,0.301497,0.3115834645054701,0.5740399667603444,0.49814677369148813,24,Genus
R2-R1,R2,R1,0.422658,0.4112460785349461,0.6337203430901824,0.6820905249126291,25.1,Genus
R2-R2,R2,R2,0,0.25416651680017993,0.42218959404345247,0.3776909792235191,0,Genus
R2-U1,R2,U1,0.321251,0.41044627918493204,0.7999238765581218,0.5697816400878905,14.6,Genus
R2-U2,R2,U2,0.521712,0.3568069585591964,0.6478010080997189,0.5668014548304117,34.5,Genus
U1-B1,U1,B1,0.402356,0.4438962951714382,0.7818340885179119,0.6303859591918001,10.2,Genus
U1-B2,U1,B2,0.378396,0.3061771562427723,0.7617289636487786,0.5986990650137833,37.9,Genus
U1-F1,U1,F1,0.459241,0.34389783713034966,0.8098181874363362,0.5442795263703392,9.7,Genus
U1-F2,U1,F2,0.22885,0.34947841392369733,0.7509980316484943,0.5173097734575541,9.6,Genus
U1-R1,U1,R1,0.419481,0.3723394385437232,0.7832109617064117,0.7123345171038433,11.2,Genus
U1-R2,U1,R2,0.321251,0.41044627918493204,0.7999238765581218,0.5697816400878905,14.6,Genus
U1-U1,U1,U1,0,0.3428786127443078,0.5904445895098934,0.35725900894212026,0,Genus
U1-U2,U1,U2,0.471687,0.404815145454817,0.7051667178639737,0.4528369160327264,21.7,Genus
U2-B1,U2,B1,0.408897,0.40059416210011334,0.6724252203119824,0.6147124922413183,11.9,Genus
U2-B2,U2,B2,0.383128,0.3163286202316002,0.7458383430040307,0.5987233422201161,22.4,Genus
U2-F1,U2,F1,0.537825,0.3581358983350667,0.7012709870397504,0.5646819498940696,11.9,Genus
U2-F2,U2,F2,0.387089,0.3587799272494405,0.6603264452648102,0.5265707247997254,13.4,Genus
U2-R1,U2,R1,0.643139,0.40907033085288846,0.670687130604461,0.7120257921051367,19.3,Genus
U2-R2,U2,R2,0.521712,0.3568069585591964,0.6478010080997189,0.5668014548304117,34.5,Genus
U2-U1,U2,U1,0.471687,0.404815145454817,0.7051667178639737,0.4528369160327264,21.7,Genus
U2-U2,U2,U2,0,0.18619628601305616,0.5197914228133278,0.40635591943522065,0,Genus
B1-B1,B1,B1,0,0.3702327672538224,0.6395924949131774,0.5702288133282102,0,Species
B1-B2,B1,B2,0.258282,0.4270108645507551,0.8058237798608182,0.6324018710150529,31.2,Species
B1-F1,B1,F1,0.543824,0.4772646546433438,0.8723131351583431,0.7476759167001299,1.9,Species
B1-F2,B1,F2,0.261133,0.49116988903572417,0.8359469125172548,0.6745111286707735,2.3,Species
B1-R1,B1,R1,0.601512,0.4570176301159894,0.8366891670533274,0.8056630810627791,9.2,Species
B1-R2,B1,R2,0.479374,0.5416750375864546,0.8187185147456063,0.685061383490067,24.2,Species
B1-U1,B1,U1,0.402356,0.4577689930708333,0.837081054957831,0.6616052519394231,10.2,Species
B1-U2,B1,U2,0.408897,0.4090088676328136,0.8295367648638646,0.6474788504472493,11.9,Species
B2-B1,B2,B1,0.258282,0.4270108645507551,0.8058237798608182,0.6324018710150529,31.2,Species
B2-B2,B2,B2,0,0.22493321985961656,0.6693282018100295,0.5300606152654207,0,Species
B2-F1,B2,F1,0.515139,0.27890453461588954,0.8975773282907297,0.7403451559378392,30.2,Species
B2-F2,B2,F2,0.265697,0.2810912888838472,0.8560806040066077,0.66619959487535,33.5,Species
B2-R1,B2,R1,0.568833,0.33650628728009313,0.8576972980396911,0.8130082976188089,40.3,Species
B2-R2,B2,R2,0.428686,0.3221376420523876,0.843989516001887,0.6648928983803158,45.5,Species
B2-U1,B2,U1,0.378396,0.31337169549149596,0.821222324242699,0.6296752663219504,37.9,Species
B2-U2,B2,U2,0.383128,0.3235847618340707,0.8361675750985699,0.6281156791625191,22.4,Species
F1-B1,F1,B1,0.543824,0.4772646546433438,0.8723131351583431,0.7476759167001299,1.9,Species
F1-B2,F1,B2,0.515139,0.27890453461588954,0.8975773282907297,0.7403451559378392,30.2,Species
F1-F1,F1,F1,0,0.26700975514614267,0.6549061555870512,0.46403809054609907,0,Species
F1-F2,F1,F2,0.448256,0.2854566773264215,0.761375892543554,0.5705373376493303,3.9,Species
F1-R1,F1,R1,0.598703,0.36807870681228166,0.7492528886599296,0.6483877976459205,10.8,Species
F1-R2,F1,R2,0.531914,0.3061855685908638,0.8090346050752198,0.604153307751586,3.8,Species
F1-U1,F1,U1,0.459241,0.35029640551286695,0.8549676199631265,0.5721091587855264,9.7,Species
F1-U2,F1,U2,0.537825,0.36471879565513665,0.8444006552673116,0.5901524547332859,11.9,Species
F2-B1,F2,B1,0.261133,0.49116988903572417,0.8359469125172548,0.6745111286707735,2.3,Species
F2-B2,F2,B2,0.265697,0.2810912888838472,0.8560806040066077,0.66619959487535,33.5,Species
F2-F1,F2,F1,0.448256,0.2854566773264215,0.761375892543554,0.5705373376493303,3.9,Species
F2-F2,F2,F2,0,0.2835479931881258,0.5897462451495633,0.40669176828421516,0,Species
F2-R1,F2,R1,0.396295,0.3779735833321358,0.7084202348039694,0.6945317075902357,7,Species
F2-R2,F2,R2,0.301497,0.3148022504017618,0.6969313055424009,0.5260348104220278,24,Species
F2-U1,F2,U1,0.22885,0.3566092010053629,0.8142470906884632,0.5457289309566197,9.6,Species
F2-U2,F2,U2,0.387089,0.36476205404924206,0.8577884118070248,0.5541102110263132,13.4,Species
R1-B1,R1,B1,0.601512,0.4570176301159894,0.8366891670533274,0.8056630810627791,9.2,Species
R1-B2,R1,B2,0.568833,0.33650628728009313,0.8576972980396911,0.8130082976188089,40.3,Species
R1-F1,R1,F1,0.598703,0.36807870681228166,0.7492528886599296,0.6483877976459205,10.8,Species
R1-F2,R1,F2,0.396295,0.3779735833321358,0.7084202348039694,0.6945317075902357,7,Species
R1-R1,R1,R1,0,0.3448308196300751,0.6281189816963914,0.5529679075167653,0,Species
R1-R2,R1,R2,0.422658,0.4139389669629708,0.7266946418137519,0.7013019594724645,25.1,Species
R1-U1,R1,U1,0.419481,0.3774925161216698,0.8496049313269042,0.7303742221223046,11.2,Species
R1-U2,R1,U2,0.643139,0.4141162916233161,0.8534353919588784,0.7294003860990962,19.3,Species
R2-B1,R2,B1,0.479374,0.5416750375864546,0.8187185147456063,0.685061383490067,24.2,Species
R2-B2,R2,B2,0.428686,0.3221376420523876,0.843989516001887,0.6648928983803158,45.5,Species
R2-F1,R2,F1,0.531914,0.3061855685908638,0.8090346050752198,0.604153307751586,3.8,Species
R2-F2,R2,F2,0.301497,0.3148022504017618,0.6969313055424009,0.5260348104220278,24,Species
R2-R1,R2,R1,0.422658,0.4139389669629708,0.7266946418137519,0.7013019594724645,25.1,Species
R2-R2,R2,R2,0,0.25653775585003347,0.5807156020252671,0.39715828185865215,0,Species
R2-U1,R2,U1,0.321251,0.41505060936409693,0.8639068845399119,0.5971232674946735,14.6,Species
R2-U2,R2,U2,0.521712,0.36120290131244076,0.8861357016855734,0.5929240324984103,34.5,Species
U1-B1,U1,B1,0.402356,0.4577689930708333,0.837081054957831,0.6616052519394231,10.2,Species
U1-B2,U1,B2,0.378396,0.31337169549149596,0.821222324242699,0.6296752663219504,37.9,Species
U1-F1,U1,F1,0.459241,0.35029640551286695,0.8549676199631265,0.5721091587855264,9.7,Species
U1-F2,U1,F2,0.22885,0.3566092010053629,0.8142470906884632,0.5457289309566197,9.6,Species
U1-R1,U1,R1,0.419481,0.3774925161216698,0.8496049313269042,0.7303742221223046,11.2,Species
U1-R2,U1,R2,0.321251,0.41505060936409693,0.8639068845399119,0.5971232674946735,14.6,Species
U1-U1,U1,U1,0,0.3523724951413803,0.644449290077395,0.3788699907765687,0,Species
U1-U2,U1,U2,0.471687,0.4132081010624331,0.7827304880200797,0.4792558846966066,21.7,Species
U2-B1,U2,B1,0.408897,0.4090088676328136,0.8295367648638646,0.6474788504472493,11.9,Species
U2-B2,U2,B2,0.383128,0.3235847618340707,0.8361675750985699,0.6281156791625191,22.4,Species
U2-F1,U2,F1,0.537825,0.36471879565513665,0.8444006552673116,0.5901524547332859,11.9,Species
U2-F2,U2,F2,0.387089,0.36476205404924206,0.8577884118070248,0.5541102110263132,13.4,Species
U2-R1,U2,R1,0.643139,0.4141162916233161,0.8534353919588784,0.7294003860990962,19.3,Species
U2-R2,U2,R2,0.521712,0.36120290131244076,0.8861357016855734,0.5929240324984103,34.5,Species
U2-U1,U2,U1,0.471687,0.4132081010624331,0.7827304880200797,0.4792558846966066,21.7,Species
U2-U2,U2,U2,0,0.19180631020463287,0.5787296102076558,0.4253394559517536,0,Species
